id,max,mean,count,sum
relation/10098006,0.4796560661315918,0.446835274038842,199,88.92021953372955
relation/10098007,0.4441821715354919,0.3905489216063224,142,55.45794686809778
relation/10098008,0.4441821715354919,0.4192740275097847,125,52.40925343872309
relation/10098009,0.5306329970359802,0.5050271807937424,193,97.47024589319228
relation/10098010,0.5879187740325927,0.4629240605740642,353,163.41219338264466
relation/10098011,0.5879187740325927,0.5334612275494469,90,48.01151047945022
relation/10098012,0.5879187740325927,0.5674960343373128,78,44.2646906783104
relation/10098511,0.4490321028709411,0.3942653867513681,121,47.706111796915536
relation/10098512,0.4207912800073624,0.3129207439629685,213,66.65211846411229
relation/10098513,0.2959194094777107,0.2959194094777107,171,50.60221902068854
relation/10098514,0.5306329970359802,0.3978304382496409,99,39.38521338671445
relation/10098515,0.5306329970359802,0.4298759332954436,133,57.173499128294
relation/10098516,0.4490321028709411,0.4289662550468194,114,48.90215307533741
relation/10098517,0.4281801507949829,0.4241875090824649,223,94.59381452538967
relation/10098518,0.4281801507949829,0.4225107027692615,159,67.17920174031258
relation/10098519,0.4281801507949829,0.4072791379801432,90,36.65512241821289
relation/10098520,0.5306329970359802,0.5186502642692219,110,57.05152906961441
relation/10098521,0.5306329970359802,0.4870721496896371,179,87.18591479444504
relation/10098522,0.5306329970359802,0.3119276608375211,96,29.945055440402037
relation/10098523,0.4281801507949829,0.4164451222705841,135,56.22009150652885
relation/10098524,0.2521547229290009,0.2521547229290009,34,8.57326057958603
relation/10098525,0.2521547229290009,0.2521547229290009,120,30.258566751480103
relation/10098526,0.4281801507949829,0.2631194230280816,192,50.51892922139167
relation/10098527,0.3047472849369049,0.2608669236939748,150,39.130038554096224
relation/10098528,0.378107285118103,0.2301957072308314,199,45.80894573893546
relation/10098771,0.3305696743965149,0.2441845589487014,775,189.24303318524363
relation/10098772,0.2585716574668884,0.2141775575179434,478,102.37687249357698
relation/10098773,0.2585716574668884,0.2432980927432715,358,87.1007172020912
relation/10098774,0.3420051719665527,0.2551271108482008,443,113.02131010575296
relation/10099085,0.2490521008491516,0.2291718050310451,534,122.37774388657807
relation/10099086,0.232871320605278,0.2161891336654533,220,47.561609406399725
relation/10099087,0.2208916079044342,0.2166361243501251,273,59.14166194758416
relation/10099088,0.2208916079044342,0.1846314645277635,393,72.56016555941106
relation/10099089,0.2314024947881698,0.2036789205143668,165,33.607021884870534
relation/10099090,0.2585716574668884,0.2387298786331471,363,86.65894594383239
relation/10099091,0.2585716574668884,0.2368363273239135,40,9.473453092956545
relation/10099092,0.2314024947881698,0.2314024947881698,180,41.65244906187057
relation/10100604,0.2526968997716903,0.2446843671845151,308,75.36278509283066
relation/10100605,0.2814766586303711,0.2743702475121706,404,110.84557999491692
