block_lgd,dtname,dtcode11,block_name,object_id,max,mean,count,sum
03321,Bargarh,370,SOHELLA,21-370-03321,0.23387619141340257,0.21028009140766227,512,107.66340680072308
03322,Bhadrak,378,BASUDEVPUR,21-378-03322,0.3211841886997223,0.3023288842273146,431,130.30374910197258
03323,Bhadrak,378,BHADRAK,21-378-03323,0.3211841886997223,0.280919002518117,302,84.83753876047135
03324,Bhadrak,378,BHANDARIPOKHARI,21-378-03324,0.3395861086845398,0.25750448538879733,218,56.13597781475782
03325,Bhadrak,378,BONTH,21-378-03325,0.2847299945354462,0.26410737471207973,224,59.16005193550586
03326,Bhadrak,378,CHANDABALI,21-378-03326,0.3538807173252106,0.3039373861451905,517,157.1356286370635
03327,Bhadrak,378,DHAMANAGAR,21-378-03327,0.35226388188600544,0.29678218719173943,211,62.62104149745702
03328,Bhadrak,378,TIHIDI,21-378-03328,0.35226388188600544,0.31174383665116506,271,84.48257973246574
03329,Boudh,391,BOUDH,21-391-03329,0.33024046015739444,0.1714022709482595,798,136.77901221671107
03330,Boudh,391,HARABHANGA,21-391-03330,0.3485196924209595,0.2834899614214313,1019,288.87627068843847
03331,Boudh,391,KANTAMAL,21-391-03331,0.43089534664154056,0.30367309021722827,872,264.80293466942305
03332,Cuttack,381,ATHAGAD,21-381-03332,0.34299935207366944,0.330661778983651,370,122.34485822395087
03333,Cuttack,381,BADAMBA,21-381-03333,0.4080617363929749,0.31142090149457696,316,98.40900487228632
03334,Cuttack,381,BANKI,21-381-03334,0.4080617363929749,0.3818468410049067,172,65.67765665284395
03335,Cuttack,381,BANKI- DAMPARA,21-381-03335,0.573655602645874,0.39327427833230383,278,109.33024937638046
03336,Cuttack,381,BARANGA,21-381-03336,0.34299935207366944,0.34299935207366944,57,19.55096306819916
03337,Cuttack,381,CUTTACKSADAR,21-381-03337,0.49882478213310244,0.40527318291709985,312,126.44523307013515
03338,Cuttack,381,KANTAPADA,21-381-03338,0.49882478213310244,0.49882478213310244,106,52.875426906108856
