id,max,mean,count,sum
relation/10105562,0.6590563803195953,0.6290690771815503,269,169.21958176183702
relation/10105563,0.583426670908928,0.5639635019631568,260,146.63051051042078
relation/10105564,0.8842390473604202,0.7450209636083583,291,216.8011004100323
relation/10105565,0.8842390473604202,0.7902908575795945,252,199.15329611005785
relation/10105566,0.8243431710243225,0.8184912969788908,320,261.91721503324504
relation/10105567,0.8243431710243225,0.7397878068069654,547,404.6639303234101
relation/10105568,0.7951636322498321,0.7075735967609404,558,394.8260669926048
relation/10105754,0.5946503336906434,0.5102504373088248,130,66.33255685014723
relation/10105755,0.7042315030097961,0.6183364324457042,364,225.07446141023632
relation/10105756,0.5946503336906434,0.5946503336906434,98,58.27573270168305
relation/10105757,0.6959481490135193,0.674396747487456,91,61.3701040213585
relation/10105758,0.6959481490135193,0.6153818538821427,314,193.2299021189928
relation/10105759,0.7118706022262573,0.6297926766536673,147,92.57952346808908
relation/10105760,0.7118706022262573,0.6928033885962841,407,281.9709791586876
relation/10105847,0.5360494802951813,0.4972642588118144,175,87.02124529206752
relation/10105848,0.5190013236403466,0.4880440453298056,134,65.39790207419395
relation/10105849,0.4766719839096069,0.4766719839096069,103,49.09721434268951
relation/10105893,0.5360494802951813,0.5131238033556939,140,71.83733246979713
relation/10105894,0.5360494802951813,0.5360494802951813,79,42.34790894331932
relation/10105895,0.8448796657681465,0.7070546243174017,121,85.55360954240561
relation/10105896,0.8448796657681465,0.5173734679642232,103,53.289467200315
relation/10105897,0.5360494802951813,0.5360494802951813,2,1.0720989605903626
relation/10106023,0.8448796657681465,0.7948284035351023,179,142.27428423278332
relation/10106024,0.8448796657681465,0.8448796657681465,72,60.83133593530656
relation/10106025,0.8448796657681465,0.8448796657681465,33,27.88102897034884
relation/10106026,0.5360494802951813,0.5360494802951813,32,17.1535833694458
relation/10106027,0.8448796657681465,0.578127756579014,130,75.15660835527183
relation/10106028,0.5836402103424072,0.5806657897144556,80,46.45326317715645
relation/10106029,0.5836402103424072,0.5836402103424073,46,26.84744967575073
relation/10106030,0.5836402103424072,0.568603200658069,170,96.66254411187174
relation/10106031,0.5836402103424072,0.5520399655910492,125,69.00499569888115
relation/10106198,0.8095249686002731,0.4106092642948379,299,122.77217002415657
relation/10106199,0.8095249686002731,0.6899420831139658,142,97.97177580218316
relation/10106200,0.8095249686002731,0.6329066491221869,186,117.72063673672676
relation/10106201,0.5918227924585342,0.5891926767783505,196,115.4817646485567
relation/10106202,0.5918227924585342,0.5918227924585342,7,4.14275954720974
relation/10106203,0.5836402103424072,0.5836402103424073,77,44.94029619636536
relation/10106204,0.5918227924585342,0.590459028772513,84,49.598558416891095
relation/10106205,0.5918227924585342,0.5571892948929589,262,145.98359526195523
relation/10106206,0.5918227924585342,0.4476767915011675,195,87.29697434272767
relation/10106207,0.5315971028089523,0.4324766962384959,218,94.2799197799921
relation/10106209,0.5315971028089523,0.46688473945679,451,210.56501749501228
relation/10106210,0.5315971028089523,0.4203168442343322,71,29.842495940637587
relation/10106300,0.8095249686002731,0.7349634583344585,76,55.857222833418845
relation/10106301,0.0,0.0,34,0.0
relation/10106302,0.8095249686002731,0.6434685647848325,39,25.095274026608468
