block_name,object_id,Mean_Daily_Runoff,Sum_Runoff,Peak_Runoff
PATTAMUNDAI,21-379-03440,3.731493,1119.4479,48.1265
PHIRINGIA,21-390-03429,1.7065335087719298,1945.4482,32.8997
PHULBANI,21-390-03430,1.405758125,674.7639,32.3908
PIPILI,21-387-03544,3.635389047619048,763.4317,40.2674
PODIA,21-399-03486,4.807934444444444,3894.4269000000004,67.5336
POLOSARA,21-388-03380,3.905701568627451,1991.9078000000002,43.4666
POTTANGI,21-398-03478,6.564587017543859,3741.8145999999997,76.3595
PUINTALA,21-393-03294,3.0108763888888888,1083.9155,49.1488
PURUSHOTTAMPUR,21-388-03381,6.66120925925926,1798.5265,82.3481
R.UDAYAGIRI,21-389-03362,7.512957575757576,4958.552,82.3881
RAGHUNATHPUR,21-380-03392,6.789471333333333,1018.4207,52.3009
RAIGHAR,21-397-03520,0.4389708333333333,368.7355,14.7013
RAIKIA,21-390-03431,3.463849444444444,1870.4787,33.7832
RAIRAKHOL,21-372-03565,0.754414074074074,814.7672,63.461
RAIRANGPUR,21-376-03503,0.5092642857142857,106.9455,5.92
RAJGANGPUR,21-374-03586,0.5585471929824561,318.3719,7.6518
RAJKANIKA,21-379-03441,2.5175243333333333,755.2573,24.816
RAJNAGAR,21-379-03442,3.3583908771929827,1914.2828,34.8632
RAMANAGUDA,21-396-03556,4.788678205128205,1867.5845,46.374
RANAPUR,21-385-03530,2.151054696969697,1419.6961,64.9196
RANGEILUNDA,21-388-03382,5.834224444444444,1050.1604,64.0587
RARUAN,21-376-03504,1.5144916666666668,272.6085,18.8153
RASGOVINDPUR,21-376-03505,2.379888148148148,642.5698,46.4141
RASULPUR,21-382-03402,4.1390633333333335,745.0314,38.5004
RAYAGADA,21-389-03363,4.385409242424243,2894.3701,62.4705
RAYAGADA,21-396-03557,2.293923095238095,1926.8953999999999,36.9555
REAMAL,21-373-03347,1.553377238095238,1631.0461,46.843
REMUNA,21-377-03307,1.839620606060606,607.0748,74.2671
RENGALI,21-372-03566,1.1678221568627452,595.5893,36.8357
SADAR,21-387-03545,1.9308900000000002,115.85340000000001,14.8036
SAHARAPADA,21-375-03454,2.9053428205128204,1133.0837,29.3285
SAINTALA,21-393-03295,2.100202121212121,1386.1334,28.6104
SALEPUR,21-381-03343,3.4617472222222223,623.1145,35.9096
SAMAKHUNTA,21-376-03506,3.5920860919540227,3125.1149,88.1448
SANAKHEMUNDI,21-388-03383,4.425298461538461,1725.8663999999999,75.5781
SARASKANA,21-376-03507,1.518420303030303,501.0787,28.9182
SATYABADI,21-387-03546,2.7900203703703705,753.3055,20.5746
SEMILIGUDA,21-398-03479,5.119214509803922,2610.7994,58.3889
SHERAGADA,21-388-03384,6.828684444444445,614.5816,61.3502
SIMULIA,21-377-03308,2.0756444444444444,373.61600000000004,37.468
SINAPALI,21-394-03535,0.8473530434782609,584.6736,15.9632
SOHELLA,21-370-03321,1.019048888888889,642.0008,12.8759
SONEPUR,21-392-03570,0.45217238095238094,189.91240000000002,8.1432
SORO,21-377-03309,2.3393704166666667,561.4489,37.1476
SUBDEGA,21-374-03587,0.4059192307692308,158.3085,5.254
SUKINDA,21-382-03403,3.426849047619048,1439.2766000000001,88.5277
SUKRULI,21-376-03508,1.9237416666666667,346.2735,26.0895
